"","JDate","Year","unitbox","RFID","X","Dayyearbird","totalTime","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Dayyear","Sc.Year","Sc.DOY","Sc.totalTime","cloud","Sky.Cov.y","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"68",149,2016,"253","041917D3E1",350,"149_2016_041917D3E1",54418,"53","041917D3E1","041917BD1F","Yes","5/27/16",-2,FALSE,22201,"Low Tape",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.150346039156197,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"69",149,2016,"253","041917D3E1",350,"149_2016_041917D3E1",54418,"53","041917D3E1","041917BD1F","Yes","5/27/16",-2,FALSE,22201,"Low Tape",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.150346039156197,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"70",149,2016,"265","04186EB480",300,"149_2016_04186EB480",54779,"65","04186EB480","041917A2AB","Yes","5/27/16",-1,FALSE,22201,"Predator",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.186068471511738,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"71",149,2016,"265","04186EB480",300,"149_2016_04186EB480",54779,"65","04186EB480","041917A2AB","Yes","5/27/16",-1,FALSE,22201,"Predator",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.186068471511738,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"72",149,2016,"265","04186EB480",300,"149_2016_04186EB480",54779,"65","04186EB480","041917A2AB","Yes","5/27/16",-1,FALSE,22201,"Predator",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.186068471511738,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"73",149,2016,"275","0418946F4E",330,"149_2016_0418946F4E",53484,"75","0418946F4E","041917CBCB","Yes","5/27/16",-1,FALSE,22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.0579229039205328,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"74",149,2016,"275","0418946F4E",330,"149_2016_0418946F4E",53484,"75","0418946F4E","041917CBCB","Yes","5/27/16",-1,FALSE,22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.0579229039205328,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"75",149,2016,"275","0418946F4E",330,"149_2016_0418946F4E",53484,"75","0418946F4E","041917CBCB","Yes","5/27/16",-1,FALSE,22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",16,-1.55198866950245,0.0579229039205328,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"76",149,2016,"277","04186ED2D1",310,"149_2016_04186ED2D1",55220,"77","04186ED2D1","041868D041","Yes","5/25/16",1,FALSE,22201,"Short Cort",50.6,"Ithaca","2016-05-25",146,146,166,"149_2016",16,-1.55198866950245,0.229707232367122,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"77",149,2016,"277","04186ED2D1",310,"149_2016_04186ED2D1",55220,"77","04186ED2D1","041868D041","Yes","5/25/16",1,FALSE,22201,"Short Cort",50.6,"Ithaca","2016-05-25",146,146,166,"149_2016",16,-1.55198866950245,0.229707232367122,0.14,0.14,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
